City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Amapa,BR,2021-05-17 07:46:24,1.0,-52.0,70.81,99,96,0.51
174,Lubao,PH,2021-05-17 07:46:24,14.9167,120.55,100.4,37,75,9.22
175,Bardiyah,LY,2021-05-17 07:46:25,31.7561,25.0865,71.67,56,0,16.08
176,Lerwick,GB,2021-05-17 07:46:25,60.1545,-1.1494,48.2,81,75,5.75
177,Arcachon,FR,2021-05-17 07:46:26,44.5875,-1.0519,59.0,72,75,16.11
178,Kulai,MY,2021-05-17 07:46:26,1.6561,103.6032,87.8,74,40,3.44
179,Banda Aceh,ID,2021-05-17 07:46:27,5.5577,95.3222,85.14,76,100,13.44
180,College,US,2021-05-17 07:46:27,64.8569,-147.8028,48.2,87,75,4.99
181,Les Herbiers,FR,2021-05-17 07:46:28,46.8667,-1.0167,53.6,87,75,12.66
182,Marzuq,YE,2021-05-17 07:46:28,14.4,46.4667,93.24,14,7,6.76
183,Marawi,PH,2021-05-17 07:46:28,7.9986,124.2928,90.0,71,100,4.7
184,Pedasi,PA,2021-05-17 07:46:29,7.5333,-80.0333,72.0,99,100,13.49
185,Faanui,PF,2021-05-17 07:46:29,-16.4833,-151.75,80.71,76,18,16.13
186,Hobyo,SO,2021-05-17 07:46:30,5.3505,48.5268,87.26,64,38,19.15
187,Pecos,US,2021-05-17 07:46:30,31.4229,-103.4932,71.01,78,1,11.5
188,Alta Floresta,BR,2021-05-17 07:46:30,-9.8756,-56.0861,66.45,76,100,4.16
189,Saint-Georges,GD,2021-05-17 07:46:31,12.0564,-61.7485,78.62,82,39,13.87
190,Waipawa,NZ,2021-05-17 07:46:31,-41.4122,175.5153,57.99,94,94,11.5
191,Kahului,US,2021-05-17 07:45:55,20.8947,-156.47,71.6,73,40,10.36
192,Maicao,CO,2021-05-17 07:46:32,11.3832,-72.2432,78.51,81,100,8.95
193,Shumyachi,RU,2021-05-17 07:46:32,53.8583,32.4242,69.3,73,100,14.65
194,Katobu,ID,2021-05-17 07:46:33,-4.9408,122.5276,80.51,83,99,7.36
195,Vila Velha,BR,2021-05-17 07:46:33,-20.3297,-40.2925,68.0,94,40,2.3
196,Santiago Del Estero,AR,2021-05-17 07:42:47,-27.7951,-64.2615,66.07,75,74,4.07
197,Coquimbo,CL,2021-05-17 07:46:34,-29.9533,-71.3436,53.6,100,90,4.61
198,Bandarbeyla,SO,2021-05-17 07:46:34,9.4942,50.8122,95.22,48,59,16.44
199,Ushuaia,AR,2021-05-17 07:46:35,-54.8,-68.3,42.8,70,20,16.11
200,Mangai,CD,2021-05-17 07:46:35,-4.05,19.5333,76.5,87,100,1.21
201,Karratha,AU,2021-05-17 07:46:36,-20.7377,116.8463,79.86,40,100,11.45
202,Alugan,PH,2021-05-17 07:46:36,12.2188,125.4808,82.26,85,99,11.43
203,Kavieng,PG,2021-05-17 07:46:36,-2.5744,150.7967,83.23,79,88,13.8
204,Touros,BR,2021-05-17 07:46:37,-5.1989,-35.4608,71.6,94,20,2.3
205,Pevek,RU,2021-05-17 07:46:37,69.7008,170.3133,33.1,91,98,5.86
206,Hasaki,JP,2021-05-17 07:46:38,35.7333,140.8333,77.0,78,75,16.11
207,Muroto,JP,2021-05-17 07:46:39,33.2833,134.15,73.4,100,75,6.91
208,Dunmore East,IE,2021-05-17 07:46:39,52.1514,-6.9861,52.0,84,57,1.01
209,Batsfjord,NO,2021-05-17 07:46:39,70.6345,29.7185,35.6,100,90,9.22
