City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
185,Vaini,TO,-21.2,-175.2,77.0,100,75,3.36,light rain
186,Oktyabrskiy,RU,54.48,53.47,8.96,91,100,13.82,overcast clouds
187,Luderitz,NA,-26.65,15.16,66.2,72,0,14.99,clear sky
188,Oistins,BB,13.07,-59.53,77.0,83,20,12.75,few clouds
189,Naze,JP,28.37,129.48,62.6,55,75,9.17,broken clouds
190,Planaltina,BR,-15.45,-47.61,68.0,88,75,5.82,heavy intensity rain
191,Moussoro,TD,13.64,16.49,74.59,22,49,19.01,scattered clouds
192,Karakol,KG,42.49,78.39,30.94,90,81,0.72,broken clouds
193,Namibe,AO,-15.2,12.15,69.8,88,75,4.47,broken clouds
194,Maceio,BR,-9.67,-35.74,69.8,94,0,3.36,clear sky
195,Quzhou,CN,28.96,118.87,52.81,71,48,3.22,scattered clouds
196,Florianopolis,BR,-27.61,-48.5,70.0,94,40,6.93,scattered clouds
197,Shingu,JP,33.73,135.98,46.4,52,20,11.41,few clouds
198,Pingliang,CN,35.54,106.69,27.0,41,92,5.01,overcast clouds
199,Vostok,RU,46.49,135.88,-10.55,92,100,8.52,light snow
200,Erzurum,TR,40.0,41.5,6.8,92,0,4.7,clear sky
201,Muros,ES,42.78,-9.06,39.99,83,0,1.01,clear sky
202,Diego De Almagro,CL,-26.37,-70.05,49.5,88,4,1.12,clear sky
203,Dongying,CN,37.46,118.49,44.44,54,41,2.66,scattered clouds
204,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1.4,70,0,8.95,clear sky
205,Isangel,VU,-19.55,169.27,79.29,76,100,5.77,overcast clouds
206,Champerico,GT,14.3,-91.92,60.01,95,0,5.08,clear sky
207,Bethel,US,41.37,-73.41,25.0,75,49,1.01,scattered clouds
208,Kahului,US,20.89,-156.47,73.4,78,20,13.87,few clouds
209,Ilulissat,GL,69.22,-51.1,19.4,62,99,4.7,overcast clouds
210,Oranjemund,NA,-28.55,16.43,68.85,75,43,14.41,scattered clouds
211,Seoul,KR,37.57,126.98,44.6,48,1,1.03,haze
212,Chapais,CA,49.78,-74.85,15.8,85,90,4.7,light snow
213,Camacari,BR,-12.7,-38.32,78.8,83,20,4.7,few clouds
214,Hovd,MN,48.01,91.64,10.99,81,0,1.61,clear sky
215,Kailua,US,21.4,-157.74,73.4,83,90,14.99,light rain
216,North Bend,US,43.41,-124.22,48.99,92,90,8.05,overcast clouds
217,Mana,GF,5.66,-53.78,74.97,92,83,5.21,broken clouds
218,Ribeira Grande,PT,38.52,-28.7,57.2,71,20,18.34,few clouds
219,Aklavik,CA,68.22,-135.01,10.4,85,100,6.93,overcast clouds
220,Iralaya,HN,15.0,-83.23,76.42,85,9,14.76,moderate rain
221,Namatanai,PG,-3.67,152.43,82.09,70,85,3.96,overcast clouds
222,Port Lincoln,AU,-34.73,135.87,76.69,41,100,2.86,overcast clouds
223,Plettenberg Bay,ZA,-34.05,23.37,74.1,63,0,6.42,clear sky
224,Gloucester,GB,51.87,-2.24,45.0,90,66,32.01,broken clouds
225,Victoria,HK,22.29,114.16,68.0,74,0,3.0,clear sky
226,Chara,RU,56.91,118.26,-25.8,72,98,0.78,overcast clouds
227,Emerald,AU,-23.53,148.17,82.4,58,90,11.41,overcast clouds
228,Yuksekova,TR,37.57,44.29,-2.2,84,40,3.36,mist
229,Jackson,US,42.42,-122.83,43.0,87,90,2.53,mist
230,Sibu,MY,2.3,111.82,91.0,66,40,3.36,light rain
231,Vanino,RU,49.09,140.25,2.07,71,100,12.73,overcast clouds
232,Pekan,MY,3.48,103.4,86.0,74,20,6.93,few clouds
233,Boyolangu,ID,-8.12,111.89,82.4,71,73,7.38,broken clouds
234,Hambantota,LK,6.12,81.12,89.6,55,75,6.93,broken clouds
235,Am Timan,TD,11.03,20.28,86.05,19,0,7.65,clear sky
236,Ratnagiri,IN,16.98,73.3,88.39,39,8,7.16,clear sky
237,Waipawa,NZ,-41.41,175.52,55.4,76,92,19.46,overcast clouds
238,Gunjur,GM,13.2,-16.73,69.8,68,0,6.93,clear sky
239,Tuktoyaktuk,CA,69.45,-133.04,6.42,91,100,9.08,overcast clouds
240,Taoudenni,ML,22.68,-3.98,70.36,23,92,7.16,overcast clouds
241,Tiznit,MA,29.58,-9.5,60.31,35,0,9.64,clear sky
242,Cabra,ES,37.47,-4.44,37.0,68,1,7.31,clear sky
243,Pochutla,MX,15.74,-96.47,68.0,87,0,2.53,clear sky
244,Bonthe,SL,7.53,-12.51,80.04,83,46,1.9,scattered clouds
245,Amberley,US,39.2,-84.43,16.0,66,75,9.17,broken clouds
246,Longyearbyen,SJ,78.22,15.64,28.4,74,40,14.99,light snow
247,Marsh Harbour,BS,26.54,-77.06,62.96,66,62,16.75,broken clouds
248,Monrovia,LR,6.3,-10.8,80.26,81,90,1.68,overcast clouds
249,Guozhen,CN,34.37,107.36,46.96,50,99,0.49,light rain
250,Brynmawr,GB,51.8,-3.18,46.99,93,74,8.01,broken clouds
251,Barrow,US,71.29,-156.79,-5.8,76,90,6.93,overcast clouds
252,Kalabo,ZM,-14.97,22.68,75.94,77,96,10.78,moderate rain
253,Mariestad,SE,58.71,13.82,27.0,92,100,3.36,overcast clouds
254,Oktyabrskoye,RU,43.06,44.74,26.6,92,100,2.24,overcast clouds
255,Sheregesh,RU,52.92,87.99,-7.51,88,79,2.37,broken clouds
256,The Valley,AI,18.22,-63.06,78.01,83,20,5.82,few clouds
257,Kangaatsiaq,GL,68.31,-53.46,22.26,93,100,27.09,light snow
258,Zabaykalsk,RU,49.63,117.32,-7.22,90,84,3.83,broken clouds
259,Wattegama,LK,6.8,81.48,89.6,55,75,6.93,light rain
260,Santa Isabel,BR,-23.32,-46.22,64.4,100,40,1.12,scattered clouds
261,Nkoyaphiri,BW,-24.63,25.83,77.0,100,75,10.29,broken clouds
262,Pagouria,GR,41.03,25.32,57.99,93,92,4.85,overcast clouds
263,Bereda,ES,43.27,-7.54,33.01,100,3,3.0,clear sky
264,Port Alfred,ZA,-33.59,26.89,79.0,72,0,9.08,clear sky
265,Albany,US,42.6,-73.97,30.0,67,93,1.01,overcast clouds
266,Kibre Mengist,ET,5.88,38.98,76.44,27,93,8.08,overcast clouds
267,Rudnogorsk,RU,57.26,103.75,-19.28,89,100,2.39,overcast clouds
268,Malatya,TR,38.5,38.0,35.6,69,0,4.7,clear sky
269,Sinnamary,GF,5.38,-52.95,75.88,89,50,5.68,scattered clouds
270,Souillac,MU,-20.52,57.52,86.0,70,40,19.46,shower rain
271,Vista Hermosa,MX,19.52,-99.22,51.8,62,5,4.7,clear sky
272,Saint Anthony,US,45.02,-93.22,16.0,78,75,6.93,broken clouds
273,Doda,IN,33.13,75.57,63.28,24,0,4.81,clear sky
274,Melbu,NO,68.5,14.83,33.8,59,75,28.86,light snow
275,Burnie,AU,-41.07,145.92,62.01,88,75,8.01,broken clouds
276,Castro,BR,-24.79,-50.01,55.83,97,100,4.18,overcast clouds
277,Ati,TD,13.22,18.34,77.76,22,12,15.12,few clouds
278,Mandera,KE,3.94,41.87,91.31,23,99,17.2,overcast clouds
279,Nassau,US,40.75,-73.58,27.0,63,1,13.87,clear sky
280,Sandwick,GB,60.0,-1.25,44.6,87,100,32.21,light rain
281,Muli,MV,2.92,73.57,83.12,73,17,8.52,few clouds
282,Yorosso,ML,12.35,-4.78,81.84,15,0,15.35,clear sky
283,Chiredzi,ZW,-21.05,31.67,82.76,68,95,5.28,light rain
284,Manta,EC,-0.95,-80.73,73.4,83,90,8.05,overcast clouds
285,Pecos,US,31.42,-103.49,39.2,12,1,5.82,clear sky
286,Kalasin,TH,16.5,103.5,89.01,90,0,4.65,clear sky
287,Vanavara,RU,60.34,102.28,-35.46,81,71,3.33,broken clouds
288,Honningsvag,NO,70.98,25.97,19.81,87,0,31.14,clear sky
289,San Patricio,US,28.02,-97.52,50.0,64,20,4.7,few clouds
290,Ketchikan,US,55.34,-131.65,37.4,100,20,4.56,few clouds
